7J0|Japan (Shin'etsu), Guest Operators
7J1|Japan (Kanto), Guest Operators
7J2|Japan (Tokai), Guest Operators
7J3|Japan (Kinki), Guest Operators
7J4|Japan (Chugoku), Guest Operators
7J5|Japan (Shikoku), Guest Operators
7J6|Japan (Kyushu), Guest Operators
7J7|Japan (Tohoku), Guest Operators
7J8|Japan (Hokkaido), Guest Operators
7J9|Japan (Hokuriku), Guest Operators
8J0 8[K-N]0|Japan (Shin'etsu), Special & Event Station
8J1 8[K-N]1|Japan (Kanto), Special & Event Station
8J2 8[K-N]2|Japan (Tokai), Special & Event Station
8J3 8[K-N]3|Japan (Kinki), Special & Event Station
8J4 8[K-N]4|Japan (Chugoku), Special & Event Station
8J5 8[K-N]5|Japan (Shikoku), Special & Event Station
8J6 8[K-N]6|Japan (Kyushu), Special & Event Station
8J7 8[K-N]7|Japan (Tohoku), Special & Event Station
8J8 8[K-N]8|Japan (Hokkaido), Special & Event Station
8J9 8[K-N]9|Japan (Hokuriku), Special & Event Station
JA0 J[B-S]0 7[K-N]0|Japan (Shin'etsu)
JA1 J[B-S]1 7[K-N][1-4]|Japan (Kanto)
JA2 J[B-S]2|Japan (Tokai)
JA3 J[B-S]3|Japan (Kinki)
JA4 J[B-S]4|Japan (Chugoku)
JA5 J[B-S]5 7[K-N]5|Japan (Shikoku)
JA6 J[B-Q]6 JR6[A-P]?? JR6Q[A-T]? 7[K-N]6|Japan (Kyushu)
JA7 J[B-S]7 7[K-N]7|Japan (Tohoku)
JA8 J[B-S]8 7[K-N]8|Japan (Hokkaido)
JA9 J[B-S]9 7[K-N]9|Japan (Hokuriku)
JA0[YZ]%% J[B-S]0[YZ]%% 7[J-N]0[YZ]%% 8[J-N]0[YZ]%%|Japan (Shin'etsu), Club Station
JA1[YZ]%% J[B-S]1[YZ]%% 7[J-N]1[YZ]%% 8[J-N]1[YZ]%%|Japan (Kanto), Club Station
JA2[YZ]%% J[B-S]2[YZ]%% 7[J-N]2[YZ]%% 8[J-N]2[YZ]%%|Japan (Tokai), Club Station
JA3[YZ]%% J[B-S]3[YZ]%% 7[J-N]3[YZ]%% 8[J-N]3[YZ]%%|Japan (Kinki), Club Station
JA4[YZ]%% J[B-S]4[YZ]%% 7[J-N]4[YZ]%% 8[J-N]4[YZ]%%|Japan (Chugoku), Club Station
JA5[YZ]%% J[B-S]5[YZ]%% 7[J-N]5[YZ]%% 8[J-N]5[YZ]%%|Japan (Shikoku), Club Station
JA6[YZ]%% J[B-Q]6[YZ]%% 7[J-N]6[YZ]%% 8[J-N]6[YZ]%%|Japan (Kyushu), Club Station
JA7[YZ]%% J[B-S]7[YZ]%% 7[J-N]7[YZ]%% 8[J-N]7[YZ]%%|Japan (Tohoku), Club Station
JA8[YZ]%% J[B-S]8[YZ]%% 7[J-N]8[YZ]%% 8[J-N]8[YZ]%%|Japan (Hokkaido), Club Station
JA9[YZ]%% J[B-S]9[YZ]%% 7[J-N]9[YZ]%% 8[J-N]9[YZ]%%|Japan (Hokuriku), Club Station
JR6%% JR6Q[U-Z]% JR6[R-X]%% JS6[A-X]%%|Japan (Okinawa)
JR6[YZ]%% JS6[YZ]%%|Japan (Okinawa), Club Station
J[A-S][0-9]%%/%%%50 J[A-S][0-9]%%%/%%%50|Japan, 50th anniversary of the return of Okinawa to Japan
7[K-N][0-9]%%/%%%50 7[K-N][0-9]%%%/%%%50|Japan, 50th anniversary of the return of Okinawa to Japan
8[K-N][0-9]%%/%%%50 8[K-N][0-9]%%%/%%%50|Japan, 50th anniversary of the return of Okinawa to Japan
J[2-7]|Japan
J8|South Korea
J2 J2#|Djibouti
CR2 CR[4-8]|Portugal, Special Station
CR1|Portugal, Special Station
CQ CS|Portugal, Special Station
CQ0|Portugal, Club Station
CS5|Portugal, Club Station
CT##|Portugal, Special Station
CS98|Portugal, Special Station
CS9#|Madeira Islands, Special Station
CT7|Portugal, Class 1
CS7|Portugal, Class 2
CR7|Portugal, Class 3
CT5|Portugal, Class C
CQ4 CR5 CR6 CS2|Portugal, Special Station
CU|Portugal
CS94|Portugal
CT2%%%|Portugal, Class B
CT1 CT4|Portugal, Class A
CR0|Portugal, Security Forces
CT8|Azores, Class 1
CS8|Azores, Class 2
CR8|Azores, Class 3
CQ1 CS4|Azores, Club Station
CQ8 CR1 CR2|Azores, Special and Contest Station
CT9|Madeira Islands, Class 1
CS9|Madeira Islands, Class 2
CR9|Madeira Islands, Class 3
CT3|Madeira Islands
CQ2 CS3|Madeira Islands, Club Station
CR3|Madeira Islands, Special and Contest Station
CQ3 CQ9|Madeira Islands, Special and Contest Station
DU1 D[X-Z]1[A-Z] 4[D-I]1[A-Z]|Philippines: Manila, Southern Tagalog
DU2 D[X-Z]2[A-Z] 4[D-I]2[A-Z]|Philippines: Ilocos, Cagayan Valley
DU3 D[X-Z]3[A-Z] 4[D-I]3[A-Z]|Philippines: Central Luzon
DU4 D[X-Z]4[A-Z] 4[D-I]4[A-Z]|Philippines: Dicol
DU5 D[X-Z]5[A-Z] 4[D-I]5[A-Z]|Philippines: Eastern Visayas
DU6 D[X-Z]6[A-Z] 4[D-I]6[A-Z]|Philippines: Western Visayas
DU7 D[X-Z]7[A-Z] 4[D-I]7[A-Z]|Philippines: Central Visayas
DU8 D[X-Z]8[A-Z] 4[D-I]8[A-Z]|Philippines: Central & Western Mindanao
DU9 D[X-Z]9[A-Z] 4[D-I]9[A-Z]|Philippines: Northern & Southern Mindanao
DV1|Philippines (General Class): Manila, Southern Tagalog
DV2|Philippines (General Class): Ilocos, Cagayan Valley
DV3|Philippines (General Class): Central Luzon
DV4|Philippines (General Class): Dicol
DV5|Philippines (General Class): Eastern Visayas
DV6|Philippines (General Class): Western Visayas
DV7|Philippines (General Class): Central Visayas
DV8|Philippines (General Class): Central & Western Mindanao
DV9|Philippines (General Class): Northern & Southern Mindanao
DW1|Philippines (Beginner's Class): Manila, Southern Tagalog
DW2|Philippines (Beginner's Class): Ilocos, Cagayan Valley
DW3|Philippines (Beginner's Class): Central Luzon
DW4|Philippines (Beginner's Class): Dicol
DW5|Philippines (Beginner's Class): Eastern Visayas
DW6|Philippines (Beginner's Class): Western Visayas
DW7|Philippines (Beginner's Class): Central Visayas
DW8|Philippines (Beginner's Class): Central & Western Mindanao
DW9|Philippines (Beginner's Class): Northern & Southern Mindanao
DU## DV## DW## DX## DY## DZ## 4D## 4E## 4F## 4G## 4H## 4I##|Philippines, Special Station
4U(S) 4U#SCO|France, UNESCO Paris
4U1UN 4U[2-90]UN 4U##UN|UN HQ ARC New York (USA)
D6 D68 D60|Comoros
TO TX|France DOM (Overseas Dept - check the DXCC!), Special Station
F5V%% F5W%%|France, Guest Operators (European Union)
F0|France, Guest Operators
F[5-68]K%%|France, Club Station
FA[0-9]|France, Club Station
FB[0-9] FC[0-9]|France, Club Station
FD[0-9]|France, Club Station
FE[0-9]|France, Club Station
FF[0-9] FQ[0-9]|France, Club Station
FI[0-9]|France, Club Station
FL[0-9]|France, Club Station
FN[0-9]|France, Club Station
